PART,QUANTITY,PRICE,LINK,,TOTAL,101.25
dactyl case,2,10,,,,
dactyl base,2,5,,,,
controllers,2,4,https://www.aliexpress.us/item/3256804095235134.html?algo_pvid=7ae8ea52-baf8-478d-8cae-662f0d57eb29&algo_exp_id=7ae8ea52-baf8-478d-8cae-662f0d57eb29-0&pdp_npi=3@dis!USD!2.9!2.49!!!!!@212244c416881896412951514d073c!12000028615122543!sea!US!2149006132&curPageLogUid=lx6Pus1uJBfP,,,
switches,70,0.26,https://www.aliexpress.us/item/3256804483625584.html?algo_pvid=249fc7b4-73eb-4102-8d5c-0824f96630ff&aem_p4p_detail=202306302234273508418448732000006579591&algo_exp_id=249fc7b4-73eb-4102-8d5c-0824f96630ff-4&pdp_npi=3@dis!USD!41.5!26.97!!!!!@212279a216881896673336800d07dc!12000030053774473!sea!US!2149006132&curPageLogUid=JPnrTsRjsRak&search_p4p_id=202306302234273508418448732000006579591_2,,,
keycaps,1,20,https://www.aliexpress.us/item/3256805545806691.html?algo_pvid=a8e4f26c-6a89-4e0e-b18e-ae007efa11b6&algo_exp_id=a8e4f26c-6a89-4e0e-b18e-ae007efa11b6-1&pdp_npi=3@dis!USD!28.36!9.36!!!!!@21224cdb16881896942298653d074e!12000034147490226!sea!US!2149006132&curPageLogUid=cW7LofmepUJA,,,
diodes,70,0.015,https://www.aliexpress.us/item/3256805249103943.html?algo_pvid=664f00fe-a66d-44af-8a5e-f4ee18c433d9&algo_exp_id=664f00fe-a66d-44af-8a5e-f4ee18c433d9-0&pdp_npi=3@dis!USD!1.41!1.4!!!!!@2102111816881897283307567d07ee!12000033065505577!sea!US!2149006132&curPageLogUid=JaCr4gOfaoBk,,,
hot swap,70,0.12,https://www.aliexpress.us/item/3256803727151495.html?algo_pvid=ec666be2-0fc0-4320-91a3-bac09782a13f&algo_exp_id=ec666be2-0fc0-4320-91a3-bac09782a13f-6&pdp_npi=3@dis!USD!14.61!9.5!!!!!@21021d7b16881897439457374d0786!12000027453999240!sea!US!2149006132&curPageLogUid=uv3zRAVVRtVk,,,
amoeba,70,0.08,https://github.com/mtl/keyboard-pcbs/tree/master/amoeba-royale,,,
wires,1,5,https://www.aliexpress.us/item/3256804149903490.html?algo_pvid=853110c3-3618-49a0-815c-695cf80fe153&algo_exp_id=853110c3-3618-49a0-815c-695cf80fe153-0&pdp_npi=3@dis!USD!3.09!2.32!!!!!@212249cb16881897801715506d07bc!12000028806929677!sea!US!2149006132&curPageLogUid=1l3yvpStwsCB,,,
rj9 connector,2,1,https://www.aliexpress.us/item/2251832841150444.html?algo_pvid=4eb656d0-0544-4825-a34d-adf8eeca16bf&algo_exp_id=4eb656d0-0544-4825-a34d-adf8eeca16bf-0&pdp_npi=3@dis!USD!2.51!1.93!!!!!@21224cdb16881898054721862d074e!67261973901!sea!US!2149006132&curPageLogUid=tXocfUnJkN7L,,,
cable,1,3,https://www.aliexpress.us/item/3256804232016213.html?algo_pvid=4eb656d0-0544-4825-a34d-adf8eeca16bf&algo_exp_id=4eb656d0-0544-4825-a34d-adf8eeca16bf-1&pdp_npi=3@dis!USD!3.89!2.88!!!!!@21224cdb16881898054721862d074e!12000029115441730!sea!US!2149006132&curPageLogUid=7xfKLYJ3SaE1,,,